Region,Frequency,Exposure (EVY),Non_Area_Related_Veh_Risk,Location_Type,Local_Authority_Code,Density,Traffic_Flow,Distance_Travelled,Averaged_Density,Distance_Travelled_2,Local_Crimes,Young,Mid,Old,Points_Per_License_Avg,Avg_Drivers,Avg_Pts,Points_Per_License,Drivers,Pts,Local_Schools,Local_CMCs,Nearest_CMC,Nearest_School,Nearest_Incidents,Nearest_Crimes,Local_Incidents_Sev1,Local_Incidents_Sev2,Local_Incidents_Sev3,Incident_Severity_Ratio1,Incident_Severity_Ratio2
1,0.07323435,13.65479452,0.05159487,Large urban area,338,11.87,1314,4.715809918,11.63918775,4.735272369,,0.297858611,0.596964422,0.105176967,0.385406405,4503306289,1735603088,0.381378956,13619,5194,31.22966507,0,92510.53574,265.0384805,1095.85777,,9.076555024,105.9760766,357.8325359,0.019205801,0.243319868
2,0.059752804,33.47123283,0.030823735,Large urban area,338,11.87,1314,4.715809918,11.63918775,4.735272369,,0.297858611,0.596964422,0.105176967,0.385406405,4503306289,1735603088,0.381378956,13619,5194,30.39344262,0,91301.51103,329.6993335,1908.613982,,9.118852459,108.057377,360.2008197,0.019101164,0.24544989
3,0,27.65753428,0.035584561,Large urban area,338,11.87,1314,4.715809918,11.63918775,4.735272369,,0.297858611,0.596964422,0.105176967,0.385406405,4503306289,1735603088,0.381378956,13619,5194,20.8018018,0,89885.89469,528.1822391,3014.955096,,10.7972973,111.7117117,354.9774775,0.022613063,0.256575364
4,0,4.39726027,0.023894084,Large urban area,338,11.87,1314,4.715809918,11.72547376,4.727951396,,0.297858611,0.596964422,0.105176967,0.387316307,4352629487,1685844377,0.455667577,10613,4836,24.77205882,0,93174.01919,506.1631394,1896.52982,,9.044117647,103.0808824,350.4926471,0.019553739,0.242389266
5,0.037753413,26.4876712,0.029251947,Large urban area,338,11.87,1314,4.715809918,11.72547376,4.727951396,,0.297858611,0.596964422,0.105176967,0.387316307,4352629487,1685844377,0.455667577,10613,4836,28.91627907,0,92332.31336,372.8893415,1040.03811,,9.018604651,105.2325581,356.5116279,0.019160357,0.242696689
6,0.074186992,13.47945204,0.040134062,Large urban area,338,11.87,1314,4.715809918,11.72547376,4.727951396,,0.297858611,0.596964422,0.105176967,0.387316307,4352629487,1685844377,0.455667577,10613,4836,24.38596491,0,91829.33639,410.3215414,2611.003055,,9,105.3157895,352.7719298,0.019269593,0.244741025
7,0,11.8027397,0.040026883,Large urban area,338,11.87,1314,4.715809918,11.72547376,4.727951396,,0.297858611,0.596964422,0.105176967,0.387316307,4352629487,1685844377,0.455667577,10613,4836,18.05633803,0,92414.7791,341.6666681,2223.648806,,9,101.5774648,340.7957746,0.019940656,0.244989924
8,0,9.66027394,0.039754949,Large urban area,338,11.87,1314,4.715809918,11.72547376,4.727951396,,0.297858611,0.596964422,0.105176967,0.387316307,4352629487,1685844377,0.455667577,10613,4836,20.0106383,0,92663.55376,466.276593,2340.519333,,9.021276596,102,343.6382979,0.019844272,0.244206157
9,0,23.44931507,0.027125334,Large urban area,338,11.49429091,1362.861818,4.85214549,10.22314766,4.888633395,,0.293942707,0.600481513,0.105575781,0.385936014,4063142359,1568112965,0.430636318,18057,7776,8.134545455,0,89711.34458,646.0861352,4516.650995,,10.96363636,107.1090909,328.5381818,0.024569602,0.264431686
10,0,32.54246572,0.032035308,Accessible small town,339,0.454134078,2798.659218,8.858346368,10.22314766,5.61463499,,0.17887443,0.703830703,0.117294867,0.385936014,4063142359,1568112965,0.430636318,18057,7776,4.770949721,0,84468.03051,631.4373614,5152.652589,,11,120.4748603,348.2178771,0.022941748,0.274151969
11,0,28.79452054,0.032221305,Large urban area,338,9.601774194,1608.987903,5.538893173,10.22314766,5.013085445,,0.274217567,0.618197753,0.10758468,0.385936014,4063142359,1568112965,0.430636318,18057,7776,14.43951613,0,88817.26856,724.977099,3963.525939,,10.99596774,114.891129,352.6330645,0.023014872,0.262902527
12,0,9.41369862,0.044356932,Accessible small town,338,11.44481481,1369.296296,4.870099145,11.56790938,4.76930172,,0.293427032,0.600944669,0.105628299,0.378175032,4047461907,1530649038,0.280988593,2630,739,4.50617284,0,84790.74465,614.7873521,6898.578177,,10.90123457,122.5802469,359.3333333,0.022159309,0.270820753
13,0,11.69041095,0.036870276,Accessible small town,338,11.788,1324.664286,4.745565698,11.66490544,4.738472837,,0.297003949,0.597732041,0.10526401,0.376364177,3791052326,1426816287,0.304278075,3740,1138,2.978571429,0,82943.82657,584.3856243,7772.517468,,10.82142857,116.9285714,340.7357143,0.023089892,0.272796312
14,0.089431558,33.54520546,0.040533786,Large urban area,338,11.87,1314,4.715809918,11.84181732,4.718165763,,0.297858611,0.596964422,0.105176967,0.381933778,4618307084,1763887473,0.319414148,28881,9225,33.48,0,91281.09924,433.7915513,2290.760229,,9,111.016,364.664,0.018569756,0.247612695
15,0.063922942,15.6438356,0.040878317,Large urban area,338,11.87,1314,4.715809918,11.84181732,4.718165763,,0.297858611,0.596964422,0.105176967,0.381933778,4618307084,1763887473,0.319414148,28881,9225,37.04672897,0,91979.09511,345.2561681,1795.945331,,9,112.2616822,368.4018692,0.018380674,0.247634943
16,0.034904848,28.64931508,0.039915109,Large urban area,338,11.87,1314,4.715809918,11.84181732,4.718165763,,0.297858611,0.596964422,0.105176967,0.381933778,4618307084,1763887473,0.319414148,28881,9225,26.58139535,0,90956.36669,409.6318171,3109.633601,,9,115.877907,372.9011628,0.018081409,0.250866408
17,0,23.17260275,0.035534038,Large urban area,338,11.87,1314,4.715809918,11.84181732,4.718165763,,0.297858611,0.596964422,0.105176967,0.381933778,4618307084,1763887473,0.319414148,28881,9225,24.32,0,89852.20533,462.1130775,2589.605545,,10.23333333,113.8666667,362.6333333,0.02103138,0.254969459
18,0,40.8082192,0.032535587,Large urban area,338,11.58419087,1351.170124,4.819523008,11.84181732,4.736944481,,0.294879707,0.599639941,0.105480352,0.381933778,4618307084,1763887473,0.319414148,28881,9225,13.86721992,0,89770.33519,761.9569087,5460.836549,,9.145228216,120.7261411,374.0456432,0.018168425,0.257580719
19,0,37.48493149,0.035594523,Large urban area,338,11.87,1314,4.715809918,11.84181732,4.718165763,,0.297858611,0.596964422,0.105176967,0.381933778,4618307084,1763887473,0.319414148,28881,9225,7.700892857,0,87379.07671,507.4510058,5649.223551,,10.99107143,115.625,357.1651786,0.022722422,0.261724155
20,0.07342587,27.23835615,0.038206641,Large urban area,338,11.87,1314,4.715809918,11.85905657,4.71672403,,0.297858611,0.596964422,0.105176967,0.383861901,4660492919,1788985671,0.410792416,14399,5915,32.256,0,92492.24237,336.2936201,1577.205423,,9,115.172,373.752,0.018075676,0.249376645
21,0.043067847,23.21917805,0.032647921,Large urban area,338,11.87,1314,4.715809918,11.85905657,4.71672403,,0.297858611,0.596964422,0.105176967,0.383861901,4660492919,1788985671,0.410792416,14399,5915,24.24752475,0,91382.77575,359.2775626,2487.019206,,9,116.4306931,375.4207921,0.017969709,0.2504337
22,0.059272491,16.87123283,0.027316426,Large urban area,338,11.87,1314,4.715809918,11.85905657,4.71672403,,0.297858611,0.596964422,0.105176967,0.383861901,4660492919,1788985671,0.410792416,14399,5915,26,0,92900.38948,379.2525749,2463.042803,,9,116.3443983,376.2780083,0.017942312,0.249875156
23,0.055361747,54.18904103,0.036344024,Accessible rural area,339,2.999090909,2467.681818,7.934844243,7.818235294,5.714401048,,0.205399759,0.680006836,0.114593404,0.383241505,4233175758,1622328650,0.410768839,15712,6454,1.327922078,0,97276.00883,2097.215678,8301.110439,,8.435064935,136.75,395.711039,0.015609777,0.268467276
